name,description,instructions,exercise_type,category,muscle_group,difficulty_level,met_value,video_url,image_avt_url,image_avt_public_id,image_url,image_public_ids,favorites_count,secondary_muscle_groups,equipment,form_tips,is_active,default_sets,default_reps,default_weight_kg,target_muscle_group,rest_time_seconds,default_duration_minutes,default_intensity_level,movement_type,estimated_calories_per_minute
Cuốn tay trước thanh đòn,Bài tập tay trước với thanh đòn,"Đứng thẳng cuốn thanh lên gần vai rồi hạ xuống có kiểm soát",GYM,Tay,Tay trước,BEGINNER,4,,,,{},{},0,[],Thanh đòn,Không đung đưa thân người,true,3,10,,Tay trước,75,,,strength,
Đẩy tay sau dây cáp,Bài tập tay sau với cáp,"Đứng trước cáp giữ khuỷu tay cố định đẩy dây xuống rồi trả chậm",GYM,Tay,Tay sau,BEGINNER,4,,,,{},{},0,[],Máy cáp,Khóa thân trên và chỉ di chuyển cẳng tay,true,3,12,,Tay sau,60,,,strength,
Nhúng ghế,Bài tập tay sau với ghế,"Đặt tay lên ghế duỗi chân hạ người xuống rồi đẩy lên",GYM,Tay,Tay sau,BEGINNER,4,,,,{},{},0,[],Ghế chắc chắn,Không hạ vai quá sâu nếu thấy đau,true,3,10,,Tay sau,60,,,strength,
Plank cơ bản,Bài tập core giữ thân người ổn định,"Chống khuỷu tay và mũi chân giữ thân thẳng trong thời gian mục tiêu",GYM,Bụng,Bụng,BEGINNER,3,,,,{},{},0,[],Không dụng cụ,Thở đều và không nâng hông quá cao,true,3,1,,Bụng,45,,,strength,
Plank nghiêng,Bài tập core hai bên thân,"Chống một khuỷu tay giữ thân nghiêng thẳng rồi đổi bên",GYM,Bụng,Bụng,BEGINNER,3,,,,{},{},0,[],Không dụng cụ,Giữ hông không rơi xuống sàn,true,3,1,,Bụng,45,,,strength,
Gập bụng cơ bản,Bài tập bụng trên đơn giản,"Nằm ngửa co gối nâng vai khỏi sàn rồi hạ xuống chậm",GYM,Bụng,Bụng,BEGINNER,3,,,,{},{},0,[],Không dụng cụ,Không kéo cổ bằng tay,true,3,15,,Bụng,45,,,strength,
Nâng chân nằm,Bài tập bụng dưới,"Nằm ngửa nâng hai chân lên rồi hạ gần sàn có kiểm soát",GYM,Bụng,Bụng,INTERMEDIATE,4,,,,{},{},0,[],Không dụng cụ,Ép lưng dưới sát sàn,true,3,12,,Bụng,60,,,strength,
Mountain climber,Bài tập toàn thân tăng nhịp tim,"Vào tư thế plank kéo gối luân phiên về phía ngực",GYM,Toàn thân,Toàn thân,INTERMEDIATE,6,,,,{},{},0,[],Không dụng cụ,Giữ vai trên cổ tay và core chắc,true,3,20,,Toàn thân,60,,,strength,
Burpee,Bài tập toàn thân cường độ cao,"Từ đứng hạ xuống plank thực hiện hít đất rồi bật nhảy lên",GYM,Toàn thân,Toàn thân,ADVANCED,8,,,,{},{},0,[],Không dụng cụ,Giảm tốc độ nếu hụt hơi hoặc mất form,true,3,10,,Toàn thân,90,,,strength,
Kettlebell swing,Bài tập hông và toàn thân với kettlebell,"Gập hông đưa tạ ra sau rồi đẩy hông mạnh để vung tạ lên",GYM,Toàn thân,Mông,INTERMEDIATE,7,,,,{},{},0,[],Kettlebell,Lực đến từ hông không phải từ vai,true,3,15,,Mông,75,,,strength,
Đi bộ chậm,Hoạt động cardio nhẹ phù hợp người mới,"Đi bộ thoải mái giữ nhịp thở dễ chịu trong thời gian mục tiêu",CARDIO,Cardio,Cardio,BEGINNER,3.5,,,,{},{},0,[],Không dụng cụ,Chọn giày êm và tăng thời lượng từ từ,true,,,,,,30,LOW,walking,3
Đi bộ nhanh,Cardio cường độ vừa cải thiện sức bền,"Đi bộ nhanh tới mức còn nói chuyện được nhưng hơi thở tăng",CARDIO,Cardio,Cardio,BEGINNER,4.5,,,,{},{},0,[],Không dụng cụ,Giữ vai thả lỏng và vung tay tự nhiên,true,,,,,,30,MEDIUM,walking,5
Chạy bộ nhẹ,Cardio phổ biến cho sức khỏe tim mạch,"Chạy ở tốc độ nhẹ duy trì nhịp thở đều trong thời gian mục tiêu",CARDIO,Cardio,Cardio,BEGINNER,7,,,,{},{},0,[],Giày chạy bộ,Khởi động kỹ và không tăng quãng đường quá nhanh,true,,,,,,30,MEDIUM,running,8
Chạy biến tốc,Bài chạy xen kẽ nhanh chậm,"Chạy nhanh trong quãng ngắn rồi đi bộ hoặc chạy chậm để hồi phục",CARDIO,Cardio,Cardio,INTERMEDIATE,9,,,,{},{},0,[],Giày chạy bộ,Chỉ tập khi đã quen chạy nền,true,,,,,,25,HIGH,running,10
Đạp xe nhẹ,Cardio ít tác động lên khớp,"Đạp xe với tốc độ nhẹ giữ nhịp đều và thoải mái",CARDIO,Cardio,Cardio,BEGINNER,4,,,,{},{},0,[],Xe đạp,Điều chỉnh yên phù hợp chiều cao,true,,,,,,30,LOW,cycling,4
Đạp xe vừa,Cardio cường độ vừa cho chân và tim mạch,"Đạp xe đều với mức gắng sức trung bình trong thời gian mục tiêu",CARDIO,Cardio,Cardio,BEGINNER,8,,,,{},{},0,[],Xe đạp,Giữ vòng đạp ổn định và uống đủ nước,true,,,,,,40,MEDIUM,cycling,7
Đạp xe nhanh,Cardio cường độ cao,"Đạp xe ở tốc độ cao hơn với nhịp thở mạnh",CARDIO,Cardio,Cardio,INTERMEDIATE,10,,,,{},{},0,[],Xe đạp,Chỉ tăng tốc ở đoạn đường an toàn,true,,,,,,30,HIGH,cycling,10
Bơi tự do,Bài cardio toàn thân ít tác động,"Bơi sải hoặc bơi tự do theo nhịp ổn định",CARDIO,Cardio,Toàn thân,INTERMEDIATE,8,,,,{},{},0,[],Hồ bơi,Khởi động vai và không bơi một mình khi mệt,true,,,,,,30,MEDIUM,swimming,8
Nhảy dây nhẹ,Cardio tại chỗ đơn giản,"Nhảy dây nhịp nhẹ giữ cổ tay linh hoạt và tiếp đất mềm",CARDIO,Cardio,Cardio,BEGINNER,8,,,,{},{},0,[],Dây nhảy,Tiếp đất bằng mũi chân và nghỉ khi đau cẳng chân,true,,,,,,15,MEDIUM,jump_rope,9
Nhảy dây nhanh,Cardio cường độ cao,"Nhảy dây tốc độ nhanh theo hiệp ngắn rồi nghỉ",CARDIO,Cardio,Cardio,INTERMEDIATE,11,,,,{},{},0,[],Dây nhảy,Giữ hiệp ngắn để không mất kỹ thuật,true,,,,,,12,HIGH,jump_rope,12
Leo cầu thang,Bài cardio dùng cầu thang,"Đi hoặc chạy nhẹ lên cầu thang theo nhịp ổn định",CARDIO,Cardio,Chân,INTERMEDIATE,8,,,,{},{},0,[],Cầu thang,Không bước quá nhanh khi xuống cầu thang,true,,,,,,20,MEDIUM,stairs,8
Máy elliptical,Cardio toàn thân ít tác động,"Đạp máy elliptical với tay cầm chuyển động đều",CARDIO,Cardio,Toàn thân,BEGINNER,5,,,,{},{},0,[],Máy elliptical,Giữ lưng thẳng và không tì quá nhiều vào tay cầm,true,,,,,,30,MEDIUM,elliptical,6
Máy chèo thuyền,Cardio toàn thân nhấn mạnh lưng và chân,"Đạp chân kéo tay cầm về thân rồi trả về theo thứ tự ngược lại",CARDIO,Cardio,Toàn thân,INTERMEDIATE,7,,,,{},{},0,[],Máy rowing,Lực chính đến từ chân và hông,true,,,,,,25,MEDIUM,row,8
Yoga giãn cơ,Buổi yoga nhẹ giúp thư giãn,"Thực hiện các tư thế chậm kết hợp hít thở sâu",SPORT,Linh hoạt,Toàn thân,BEGINNER,2.5,,,,{},{},0,[],Thảm tập,Không ép biên độ nếu thấy đau,true,,,,,,30,LOW,yoga,3
Yoga sức mạnh,Yoga cường độ vừa cho sức bền cơ,"Kết hợp chuỗi tư thế đứng giữ thăng bằng và kiểm soát hơi thở",SPORT,Linh hoạt,Toàn thân,INTERMEDIATE,4,,,,{},{},0,[],Thảm tập,Ưu tiên kiểm soát thay vì tốc độ,true,,,,,,40,MEDIUM,yoga,5
Pilates cơ bản,Bài tập kiểm soát core và tư thế,"Thực hiện động tác chậm tập trung vào hơi thở và cơ bụng sâu",SPORT,Linh hoạt,Bụng,BEGINNER,3,,,,{},{},0,[],Thảm tập,Giữ lưng trung lập và chuyển động chậm,true,,,,,,30,LOW,pilates,4
HIIT toàn thân,Buổi tập cường độ cao theo hiệp,"Thực hiện các bài toàn thân trong hiệp ngắn xen kẽ nghỉ",SPORT,Toàn thân,Toàn thân,ADVANCED,9,,,,{},{},0,[],Không dụng cụ,Chỉ tập khi đã có nền thể lực ổn,true,,,,,,20,HIGH,hiit,10
Tabata cơ bản,Bài tập 20 giây hoạt động và 10 giây nghỉ,"Chọn động tác đơn giản tập 8 hiệp theo cấu trúc tabata",SPORT,Toàn thân,Toàn thân,INTERMEDIATE,8,,,,{},{},0,[],Không dụng cụ,Giữ form chuẩn trước khi tăng tốc,true,,,,,,16,HIGH,tabata,9
Aerobic nhẹ,Bài vận động theo nhạc cường độ nhẹ,"Di chuyển theo nhịp nhạc với các bước đơn giản",SPORT,Cardio,Toàn thân,BEGINNER,4,,,,{},{},0,[],Không dụng cụ,Chọn nhịp vừa sức và giữ hơi thở đều,true,,,,,,30,LOW,aerobic,4
Zumba,Bài nhảy cardio theo nhạc Latin,"Thực hiện các tổ hợp bước nhảy liên tục theo nhạc",SPORT,Cardio,Toàn thân,BEGINNER,6,,,,{},{},0,[],Không dụng cụ,Uống nước và giảm cường độ khi hụt hơi,true,,,,,,40,MEDIUM,dance,7
Cầu lông,Hoạt động thể thao đối kháng phổ biến,"Di chuyển đánh cầu theo trận hoặc bài tập kỹ thuật",SPORT,Thể thao,Toàn thân,BEGINNER,5.5,,,,{},{},0,[],Vợt và sân cầu lông,Khởi động cổ tay vai và gối trước khi chơi,true,,,,,,45,MEDIUM,badminton,6
Bóng đá phong trào,Hoạt động thể thao cường độ thay đổi,"Chơi bóng đá sân nhỏ với di chuyển chạy dừng đổi hướng",SPORT,Thể thao,Toàn thân,INTERMEDIATE,7,,,,{},{},0,[],Giày và sân bóng,Khởi động kỹ cổ chân và gối,true,,,,,,60,HIGH,football,8
Bóng rổ,Hoạt động thể thao nhiều bật nhảy và đổi hướng,"Chơi bóng rổ theo trận hoặc bài tập ném rổ di chuyển",SPORT,Thể thao,Toàn thân,INTERMEDIATE,6.5,,,,{},{},0,[],Bóng và sân bóng rổ,Chú ý tiếp đất mềm sau khi bật nhảy,true,,,,,,45,MEDIUM,basketball,7
Bóng chuyền,Hoạt động thể thao phối hợp tay vai chân,"Chơi bóng chuyền với các pha di chuyển đỡ chuyền và bật nhảy",SPORT,Thể thao,Toàn thân,BEGINNER,4.5,,,,{},{},0,[],Bóng và sân bóng chuyền,Khởi động vai và cổ tay trước khi chơi,true,,,,,,45,MEDIUM,volleyball,5
Tennis,Hoạt động thể thao vợt cường độ vừa cao,"Di chuyển đánh bóng luân phiên với đối thủ hoặc tường tập",SPORT,Thể thao,Toàn thân,INTERMEDIATE,7,,,,{},{},0,[],Vợt và sân tennis,Không xoay gối quá mạnh khi đổi hướng,true,,,,,,45,HIGH,tennis,8
Đi bộ leo dốc,Bài cardio tăng tải cho chân,"Đi bộ trên dốc hoặc máy chạy có độ nghiêng vừa phải",CARDIO,Cardio,Chân,BEGINNER,6,,,,{},{},0,[],Máy chạy hoặc đường dốc,Giữ bước ngắn và thân người ổn định,true,,,,,,30,MEDIUM,incline_walk,6
Chạy trên máy,Bài chạy kiểm soát tốc độ trong phòng tập,"Chạy trên máy với tốc độ phù hợp và tăng dần theo khả năng",CARDIO,Cardio,Cardio,BEGINNER,7,,,,{},{},0,[],Máy chạy bộ,Kẹp khóa an toàn và không nhìn xuống chân quá lâu,true,,,,,,30,MEDIUM,treadmill,8
Đạp xe trong nhà,Bài cardio với xe đạp tập,"Đạp xe tại chỗ theo kháng lực và nhịp mục tiêu",CARDIO,Cardio,Chân,BEGINNER,7,,,,{},{},0,[],Xe đạp tập,Điều chỉnh yên và tay cầm trước khi tập,true,,,,,,35,MEDIUM,indoor_cycling,7
Giãn cơ toàn thân,Buổi giãn cơ nhẹ sau tập,"Giữ từng tư thế giãn cơ trong 20 đến 30 giây và thở đều",SPORT,Linh hoạt,Toàn thân,BEGINNER,2,,,,{},{},0,[],Thảm tập,Không nảy người khi giãn cơ,true,,,,,,20,LOW,mobility,2
Khởi động động,Buổi khởi động trước tập,"Thực hiện xoay khớp bước chùng chân nâng gối và vung tay",SPORT,Linh hoạt,Toàn thân,BEGINNER,3,,,,{},{},0,[],Không dụng cụ,Tăng nhịp dần không vào bài nặng ngay,true,,,,,,10,LOW,warmup,3
Mobility hông,Bài cải thiện biên độ khớp hông,"Thực hiện xoay hông mở hông và lunge giãn cơ chậm",SPORT,Linh hoạt,Hông,BEGINNER,2.5,,,,{},{},0,[],Thảm tập,Giữ chuyển động trong tầm không đau,true,,,,,,15,LOW,mobility,2.5
Mobility vai,Bài cải thiện biên độ vai,"Xoay vai kéo giãn ngực và thực hiện wall slide chậm",SPORT,Linh hoạt,Vai,BEGINNER,2.5,,,,{},{},0,[],Tường hoặc dây kháng lực,Không ép vai nếu có cảm giác kẹt,true,,,,,,15,LOW,mobility,2.5
Squat bật nhảy,Bài chân cường độ cao,"Hạ squat rồi bật nhảy lên tiếp đất mềm và lặp lại",GYM,Chân,Chân,INTERMEDIATE,8,,,,{},{},0,[],Không dụng cụ,Tiếp đất bằng mũi chân rồi hạ gót nhẹ,true,3,10,,Chân,75,,,strength,
Step up,Bài chân bước lên bục,"Đặt một chân lên bục đẩy người lên rồi hạ xuống kiểm soát",GYM,Chân,Chân,BEGINNER,5,,,,{},{},0,[],Bục tập hoặc ghế chắc chắn,Đẩy bằng chân trên bục tránh bật chân dưới,true,3,10,,Chân,60,,,strength,
Wall sit,Bài giữ tĩnh cho đùi trước,"Tựa lưng vào tường hạ hông như ngồi ghế và giữ",GYM,Chân,Chân,BEGINNER,3,,,,{},{},0,[],Tường,Giữ gối khoảng 90 độ và thở đều,true,3,1,,Chân,45,,,strength,
Glute bridge,Bài mông và hông dễ thực hiện,"Nằm ngửa co gối đẩy hông lên cao rồi hạ xuống",GYM,Chân,Mông,BEGINNER,4,,,,{},{},0,[],Không dụng cụ,Siết mông ở đỉnh và không ưỡn lưng,true,3,12,,Mông,60,,,strength,
Bird dog,Bài core và lưng dưới nhẹ,"Tư thế bò bốn điểm duỗi tay và chân đối diện rồi đổi bên",GYM,Bụng,Bụng,BEGINNER,3,,,,{},{},0,[],Thảm tập,Giữ hông không xoay khi duỗi chân,true,3,10,,Bụng,45,,,strength,
Superman,Bài lưng dưới dùng trọng lượng cơ thể,"Nằm sấp nâng tay chân khỏi sàn giữ ngắn rồi hạ xuống",GYM,Lưng,Lưng dưới,BEGINNER,3,,,,{},{},0,[],Thảm tập,Không ngửa cổ quá mức,true,3,12,,Lưng dưới,45,,,strength,
Russian twist,Bài xoay thân cho cơ bụng chéo,"Ngồi hơi ngả người xoay thân sang hai bên có kiểm soát",GYM,Bụng,Bụng,INTERMEDIATE,4,,,,{},{},0,[],Không dụng cụ,Giữ lưng dài và không xoay quá nhanh,true,3,16,,Bụng,60,,,strength,
Bicycle crunch,Bài bụng phối hợp chân và thân,"Nằm ngửa đưa khuỷu tay về gối đối diện luân phiên hai bên",GYM,Bụng,Bụng,INTERMEDIATE,4,,,,{},{},0,[],Không dụng cụ,Không kéo cổ và giữ nhịp đều,true,3,20,,Bụng,60,,,strength,
Farmer carry,Bài cầm tạ đi bộ tăng sức mạnh grip và core,"Cầm tạ hai bên đi thẳng trong quãng đường hoặc thời gian mục tiêu",GYM,Toàn thân,Toàn thân,INTERMEDIATE,5,,,,{},{},0,[],Tạ đơn hoặc kettlebell,Giữ vai thấp và thân người thẳng,true,3,1,,Toàn thân,75,,,strength,
Bear crawl,Bài bò gấu toàn thân,"Chống tay chân nâng gối khỏi sàn rồi bò tiến chậm",GYM,Toàn thân,Toàn thân,INTERMEDIATE,6,,,,{},{},0,[],Không dụng cụ,Giữ hông thấp và bước ngắn,true,3,20,,Toàn thân,75,,,strength,
Battle rope,Bài dây thừng cường độ cao,"Cầm hai đầu dây tạo sóng liên tục bằng tay và thân trên",GYM,Toàn thân,Toàn thân,INTERMEDIATE,8,,,,{},{},0,[],Dây battle rope,Giữ gối hơi chùng và core chắc,true,4,30,,Toàn thân,60,,,strength,
Sled push,Bài đẩy xe trượt tăng sức mạnh chân,"Nghiêng người đẩy sled về trước với bước ngắn mạnh",GYM,Chân,Chân,ADVANCED,8,,,,{},{},0,[],Sled,Giữ lưng trung lập và kiểm soát tốc độ,true,4,1,,Chân,120,,,strength,
Pull up,Bài kéo xà cho lưng và tay,"Treo người trên xà kéo cằm lên qua xà rồi hạ xuống chậm",GYM,Lưng,Lưng,ADVANCED,7,,,,{},{},0,[],Xà đơn,Không đung đưa người quá nhiều,true,3,6,,Lưng,120,,,strength,
Assisted pull up,Kéo xà có hỗ trợ cho người mới,"Dùng dây hoặc máy hỗ trợ kéo người lên xà rồi hạ xuống",GYM,Lưng,Lưng,BEGINNER,5,,,,{},{},0,[],Xà đơn hoặc máy hỗ trợ,Giữ vai ổn định và hạ chậm,true,3,8,,Lưng,90,,,strength,
Chin up,Kéo xà lòng bàn tay hướng vào người,"Nắm xà lòng bàn tay hướng về người kéo cằm qua xà",GYM,Lưng,Lưng,INTERMEDIATE,7,,,,{},{},0,[],Xà đơn,Siết lưng và tay trước không giật người,true,3,6,,Lưng,120,,,strength,
Dips xà kép,Bài ngực và tay sau với xà kép,"Chống tay trên xà kép hạ người xuống rồi đẩy lên",GYM,Ngực,Tay sau,ADVANCED,6,,,,{},{},0,[],Xà kép,Không hạ quá sâu nếu vai khó chịu,true,3,8,,Tay sau,120,,,strength,
Chest press máy,Đẩy ngực bằng máy phù hợp người mới,"Ngồi vào máy đặt tay cầm ngang ngực đẩy ra rồi trả chậm",GYM,Ngực,Ngực,BEGINNER,5,,,,{},{},0,[],Máy chest press,Điều chỉnh ghế để tay cầm ngang ngực,true,3,10,,Ngực,75,,,strength,
Seated shoulder press máy,Đẩy vai bằng máy an toàn hơn tạ tự do,"Ngồi thẳng đẩy tay cầm lên cao rồi hạ về ngang vai",GYM,Vai,Vai,BEGINNER,5,,,,{},{},0,[],Máy shoulder press,Không nhún vai khi đẩy,true,3,10,,Vai,75,,,strength,
Leg curl máy,Bài cô lập gân kheo,"Nằm hoặc ngồi trên máy cuốn gót về phía mông rồi hạ chậm",GYM,Chân,Gân kheo,BEGINNER,4,,,,{},{},0,[],Máy leg curl,Giữ hông cố định và không giật tạ,true,3,12,,Gân kheo,60,,,strength,
Leg extension máy,Bài cô lập đùi trước,"Ngồi trên máy duỗi gối nâng đệm lên rồi hạ xuống chậm",GYM,Chân,Đùi trước,BEGINNER,4,,,,{},{},0,[],Máy leg extension,Không khóa gối quá mạnh ở đỉnh,true,3,12,,Đùi trước,60,,,strength,
Cable woodchop,Bài core xoay với cáp,"Đứng nghiêng kéo cáp chéo qua thân từ cao xuống thấp",GYM,Bụng,Bụng,INTERMEDIATE,4,,,,{},{},0,[],Máy cáp,Xoay bằng thân người không chỉ bằng tay,true,3,12,,Bụng,60,,,strength,
